cluster.no	I-H-106917-T2-1-D1-2I-H-106917-T2-1-D1-2	I-H-106917-T2-1-D1-2I-H-106917-T2-2-D1-2	I-H-106917-T2-1-D1-2I-H-106917-T2-3-D1-2	I-H-106917-T2-1-D1-2I-H-106917-T2-4-D1-2	no.of.mutations
1	0.000514190513787587	0.000388759732956491	3.28506050435892e-05	0.261185569162592	221
2	0.00010793095398189	0.000164067852871731	8.21483670586695e-05	1.00597908468753	275
3	0	0.00012979641056768	0.985951925030486	0.000109130214923193	361
4	0.00706606178627418	0.000558076768376441	0.978686704937636	1.04309740082483	243
5	0.000139690117848123	0.301934396475305	0.00212759368771345	0.000490907123655037	283
6	0	1.02137179976856	0.00456482153430909	0.000270020896556795	152
7	0.0792632385512854	0.932449032143954	0.900256745117731	1.08584132757009	4
8	0.421956305523231	0	0	0	186
9	0.54018864049712	0.589767854874842	0.534317943375992	0.577202532443635	24
10	0.99483408398081	0.000833080899757941	0.00107887304259564	0.000467134444715747	345
11	0.998629002768115	1.05035767524182	0.00537216339069831	0.000536751857255905	128
12	1.02436114451233	1.05472295412456	1.03149420690038	0.00104865958498017	321
13	1.06125546175845	1.0618475340188	1.02906930104351	1.04657054280409	9085
