cluster.no	I-H-130718-T1-1	I-H-130718-T1-10	I-H-130718-T1-11-D1-1	I-H-130718-T1-12-D1-1	I-H-130718-T1-2	I-H-130718-T1-4	I-H-130718-T1-6	I-H-130718-T1-9	no.muts.in.cluster	prop.muts.in.cluster	no.samples
3	1.003166809	1.005958351	1.023246162	0.9870171624	1.004391988	1.005968246	1.005822724	1.011939979	5891	0.2019263728	8
15	0.02004518791	0.998987363	0.9836625241	0.001076682291	1.001530072	0.9951583862	0.9931539201	1.001619969	65	0.002228011243	6
16	0.0001740464583	1.004288457	0.9281720803	0.0001664598805	0.0001897897496	0.9955042822	0.0001933087645	0.9977756407	125	0.004284637006	4
12	0.0001660886889	0.9926191814	0.9334099323	0.0001522567352	0.0001953781187	0.9951583862	0.0001933087645	0.0001842700731	284	0.009734695277	3
10	0.0003279273067	0.0001520683681	0.0002781665274	0.0005344981921	0.9871614596	0.0002842938835	0.9583551923	0.0001984401603	1564	0.05360937821	2
11	0.8745299676	0.0001882804074	0.0002039618661	0.9004350902	0.0002487812692	0.0001591614762	0.0001343005103	0.0002649599794	474	0.01624734353	2
1	0.0001689271881	0.0002267665503	0.0001692985869	0.0002092839053	0.0001886841134	0.00023475484	0.0001157031649	0.9919739778	3156	0.1081785151	1
5	0.0002058072566	0.9926191814	0.000208894727	0.0001688385409	0.0001989096971	0.0001753994425	0.000160900635	0.0002299929231	2792	0.09570165216	1
6	0.0003275990505	0.0001693103979	0.0002781665274	0.0002095491138	0.0001984219388	0.0002011768366	0.4925609706	0.000220260391	2670	0.09151984644	1
8	0.000178065142	0.0002160669584	0.9111828111	0.0001694069733	0.000187800906	0.0001753994425	0.0001157031649	0.0002060320262	2484	0.08514430657	1
9	0.0001689271881	0.0001794114487	0.0001725674334	0.0001662418878	0.0002095490928	0.9792158947	0.000160900635	0.0002060320262	2149	0.0736614794	1
7	0.8745299676	0.0001999403982	0.0001704127493	0.0001757121028	0.0002180273359	0.0001826912354	0.0001420105118	0.000220260391	1993	0.06831425242	1
4	0.0003208109084	0.0002085540843	0.0002669026228	0.9004350902	0.0002095490928	0.0001820174228	0.000121110445	0.0002299929231	1779	0.06097895386	1
13	0.0002068061242	0.000181834686	0.000203911348	0.0002139856572	0.9871614596	0.0002221087567	0.0001484916016	0.0002089711109	1622	0.05559744978	1
