cluster.no	I130719-T1-2-D1-2	I130719-T1-4-D1-2	I130719-T1-5-D1-2	I130719-T1-6-D1-2	no.of.mutations	no.samples	notes
14	1.016283356	1.014957564	0.998671162	1.004330914	8134	4	
12	1.002278298	0.1341564303	0.9709024316	0.9443124336	666	4	
11	0.9958711062	0.05857108131	0.0009974165004	0.4008628961	185	3	
4	0.0003315963868	0.005612023349	0.9780468485	0.5799062836	63	2	
2	4.01E-05	0.0001443766391	0.5113529968	0.0008398549389	931	1	
1	0.0001751642699	0.001082195719	0.0001235291358	0.564386718	665	1	
3	0.0001036464762	0	0.9545384225	0.006634768852	393	1	
10	0.9955522778	0	0	0	269	1	
5	0.0007984874324	0.5862559989	0.0005392936233	0	224	1	
6	0	0.9278755777	0	0.003164067838	138	1	
7	0.2488347391	0	0	0	94	1	
