cluster.no	I-H-130720-T1-2-D1-2I-H-130720-T1-2-D1-2	I-H-130720-T1-2-D1-2I-H-130720-T1-3-D1-2	I-H-130720-T1-2-D1-2I-H-130720-T1-4-D1-2	I-H-130720-T1-2-D1-2I-H-130720-T1-5-D1-2	I-H-130720-T1-2-D1-2I-H-130720-T1-8-D1-2	no.of.mutations
1	0.000132629929338055	0.000201623727754506	0.000119037365215905	0.000109836349241833	0.279049592840513	2967
2	0.000305005460394352	0.00558718193499585	0.000810645492582561	0.000343424286875141	0.76866021141158	611
3	0.0157149155729065	0.00021453760762314	0.000166026942546381	0.95546473240832	0.000244167929193346	1013
4	0.0328642974202829	0.0338366986727521	0	1.09690952736974	1.00363279363763	2
5	0	0	0.958358959878994	0	0.000115172202100001	740
6	0.0104970213135332	0.0458675954045723	0.996569430415659	1.00920845500646	0.927276029827127	25
7	8.84786431498387e-05	0.481796113515392	0.000433902291173662	0.000155153682437278	8.38488220939256e-05	697
8	0.000190563404339182	0.949096663325486	0.00116455478140936	0.000247281417868519	0.000164613307911437	554
9	0.51660526348857	0.504319922542561	0.858199845606721	1.1850943838801	0.780635147099883	6
10	0.972660500374043	0.000153234221482655	0	0.000163390971270627	0.000151352447870397	284
11	1.01621586850193	0.0663628687780394	1.02241438276818	0.969400486835179	0.978867292084421	143
12	0.593792877369956	0.748684674255969	0.723983751943577	0.694066241380056	0.565332645618061	50
13	0.999541215894186	0.997467351945482	0.99703150225731	1.00102387345448	0.991696602280203	3739
14	0.984739587713985	1.08503486101828	1.09287654715767	0.0441411112770895	1.05072893841124	1
