	chr	startpos	endpos	BAF	pval	LogR	ntot	nMaj1_A	nMin1_A	frac1_A	nMaj2_A	nMin2_A	frac2_A	SDfrac_A	SDfrac_A_BS	frac1_A_0.025	frac1_A_0.975	nMaj1_B	nMin1_B	frac1_B	nMaj2_B	nMin2_B	frac2_B	SDfrac_B	SDfrac_B_BS	frac1_B_0.025	frac1_B_0.975	nMaj1_C	nMin1_C	frac1_C	nMaj2_C	nMin2_C	frac2_C	SDfrac_C	SDfrac_C_BS	frac1_C_0.025	frac1_C_0.975	nMaj1_D	nMin1_D	frac1_D	nMaj2_D	nMin2_D	frac2_D	SDfrac_D	SDfrac_D_BS	frac1_D_0.025	frac1_D_0.975	nMaj1_E	nMin1_E	frac1_E	nMaj2_E	nMin2_E	frac2_E	SDfrac_E	SDfrac_E_BS	frac1_E_0.025	frac1_E_0.975	nMaj1_F	nMin1_F	frac1_F	nMaj2_F	nMin2_F	frac2_F	SDfrac_F	SDfrac_F_BS	frac1_F_0.025	frac1_F_0.975
3	1	79504730	102636515	0.845840228541222	1	-0.910651378033114	1.03884613532855	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	1	102638661	110504663	0.501108935484669	1	-0.149775194408444	2.07376824845139	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
38	5	146118651	180685900	0.642362863484051	1	0.285560761513898	2.96315537709056	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
47	7	80500	99104686	0.501109235980421	1	-0.206429266393297	1.97653226163451	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
51	7	126311654	130935743	0.723176106103376	1	0.651399616664786	3.94866643198982	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
52	7	130949057	159122935	0.643212037611815	1	0.277118544203304	2.94323346928243	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
53	8	156504	52740683	0.501117162646253	1	-0.208230204661109	1.97350347632617	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
54	8	52885683	126391143	0.908936128253368	1	-0.166330004427272	2.04495912030568	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
55	8	126400081	128603440	0.532734162976126	0.0000000000000000392718047999315	-2.66726074289412	0.053015429554211	0	0	0.968385664229346	1	0	0.0316143357706543	0.00396207195295023	0.00396838942960772	0.960448163785032	0.975788079056794	0	0	0.984192832114673	2	0	0.015807167885327	0.00198103597647503	0.00198419471480386	0.980224081892516	0.987894039528397	1	0	0.150620385540539	1	1	0.849379614459461	0.0165565097709711	0.016579247952661	0.118666659179896	0.181996676527822	1	0	0.57531019277027	1	2	0.42468980722973	0.00827825488548567	0.00828962397633048	0.559333329589948	0.590998338263911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
56	8	128603606	146300622	0.909237165581868	1	-0.187112337298489	2.14494043023385	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
60	9	133903863	136142355	0.909223427083592	1	-0.295644638876328	2.14454750748219	2	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
61	9	136143000	138355628	0.519595280618266	0.0000000000000000000000000000000000000000000000108969687867168	0.508917329844532	3.5348911241901	2	1	0.167869300447749	2	2	0.832130699552251	0.0108323982655636	0.0108925955730434	0.146522079469862	0.188206592759807	2	0	0.0839346502238744	2	2	0.916065349776126	0.00541619913278178	0.00544629778652168	0.0732610397349308	0.0941032963799035	2	1	0.583934650223875	2	3	0.416065349776125	0.00541619913278168	0.00538517772861977	0.573049327698555	0.595092245509538	1	1	0.900014439702787	2	1	0.0999855602972132	0.00697829021891183	0.00693999616429705	0.885426284466045	0.913083422853967	0	1	0.450007219851393	2	1	0.549992780148607	0.00348914510945597	0.00346999808214853	0.442713142233022	0.456541711426984	1	1	0.950007219851393	3	1	0.0499927801486072	0.00348914510945592	0.00346999808214854	0.942713142233022	0.956541711426983
62	9	138357385	141068960	0.578562727145619	0.00000000000119486396487381	0.779382712768125	4.35682725140561	2	2	0.170209231575776	3	2	0.829790768424224	0.0229769685099687	0.022186919365221	0.125143130476282	0.213681360292034	1	2	0.0851046157878881	3	2	0.914895384212112	0.0114884842549843	0.0110934596826105	0.0625715652381408	0.106840680146017	2	2	0.585104615787888	4	2	0.414895384212112	0.0114884842549844	0.0110934596826105	0.562571565238141	0.606840680146017	2	1	0.604437068059567	2	2	0.395562931940433	0.0121914076407384	0.0123935679598596	0.580222170737977	0.629725462580816	2	0	0.302218534029784	2	2	0.697781465970216	0.00609570382036942	0.00619678397992982	0.290111085368988	0.314862731290408	2	1	0.802218534029784	2	3	0.197781465970216	0.00609570382036928	0.00619678397992982	0.790111085368988	0.814862731290408
72	13	19449788	114999838	0.500917623442743	1	-0.176251832729698	2.02785065854443	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
79	14	104365941	107287115	0.500740632260157	1	-0.411951199163008	1.65417911376405	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
80	15	20004669	102418955	0.500863441230656	1	0.644980267899771	3.929132123126	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
85	17	21720807	79380614	0.501537709939981	1	-0.246107329363944	1.91067059599447	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
87	18	125371	77851522	0.500725447707488	1	-0.181623804302314	2.01863661180917	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
90	20	20000121	62892756	0.501737382020111	1	-0.223646129694688	1.94773137114564	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	22	16566779	23029526	0.50227545075805	1	-0.282561349324642	1.85173651437073	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	1	79503456	102636515	0.58239652274986	1	-0.287141290515035	1.06169333692313	1	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	1	102638661	110525630	0.50084301528544	1	-0.0457143364666236	2.16109932736711	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
17	5	146158903	180685900	0.561252106847964	1	0.102516696474499	2.96408395670538	2	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
