"chr","start","end","idist"
"chr1",14808226,14808227,14.0038059027699
"chr1",37726029,37726030,13.1346812005643
"chr1",45989105,45989106,13.5761169365433
"chr1",65568749,65568750,13.4275130000393
"chr1",66247162,66247163,13.680187847602
"chr1",71731576,71731577,11.8279916466348
"chr1",71868610,71868611,13.2155950349407
"chr1",72417467,72417468,13.9795697007244
"chr1",73595750,73595751,14.4497454935034
"chr1",75481328,75481329,12.7350200730348
"chr1",75820756,75820757,13.7652462077163
"chr1",80958237,80958238,13.5762376247202
"chr1",81745436,81745437,14.0265807183273
"chr1",82980434,82980435,13.8426742612351
"chr1",84007969,84007970,14.3422849217454
"chr1",93110351,93110352,13.9169464824791
"chr1",96669428,96669429,13.7923033416265
"chr1",101603423,101603424,14.3959586949512
"chr1",103390261,103390262,13.8599646683584
"chr1",107928014,107928015,13.5578894270332
"chr1",113996099,113996100,14.0138867138919
"chr1",115215519,115215520,12.9595243966956
"chr1",115640382,115640383,12.5485127532169
"chr1",180721846,180721847,14.0312411006989
"chr1",181962613,181962614,14.2631906099881
"chr1",186020674,186020675,14.477512213103
"chr1",187959342,187959343,13.1293806983147
"chr1",198826615,198826616,14.2396502063372
"chr1",200354889,200354890,14.1433383963453
"chr1",219125196,219125197,13.7548949986068
"chr1",220066380,220066381,11.5770263903768
"chr1",220172999,220173000,14.430637816972
"chr2",49482482,49482483,15.4006734006249
"chr2",54362567,54362568,14.1648489551381
"chr2",85632804,85632805,15.0865337884512
"chr2",89197301,89197302,15.6926715813344
"chr2",228357285,228357286,14.5908762313058
"chr2",230528670,230528671,13.5324723527172
"chr2",231282160,231282161,14.9485738695433
"chr2",234387313,234387314,15.0882226416254
"chr3",85122354,85122355,14.7234735099372
"chr3",87601620,87601621,13.8343254427014
"chr3",98762685,98762686,15.3167597368779
"chr3",125215394,125215395,13.5596720543267
"chr3",125989660,125989661,15.7032266646645
"chr3",175751002,175751003,14.4791341756618
"chr4",1874728,1874729,9.56598478510039
"chr4",1888998,1888999,10.118235963062
"chr4",1913788,1913789,13.630598047547
"chr4",13901308,13901309,14.2650812237938
"chr4",15468946,15468947,14.1297693206754
"chr4",35536336,35536337,14.7353725054502
"chr4",52740434,52740435,13.9299885825278
"chr4",53861721,53861722,13.4231862303623
"chr4",54537205,54537206,13.3680070908644
"chr4",55176426,55176427,14.0664179033982
"chr4",170959886,170959887,13.4064801015487
"chr5",31516415,31516416,14.5641283955703
"chr5",33630490,33630491,14.7104109387757
"chr5",81591898,81591899,14.4041746156225
